Category	Topic / Chapter	Lecture # in Topic	Lecture Title	Current YouTube URL	Current Playlist URL(s)	MyNotes URL	MyNotes_old URL	JEE Syllabus Unit	JEE Syllabus Unit Name	Syllabus Mapping Confidence	Source Plan Status	Recommended Primary Source	Recommended Source URL	Source Plan Notes	
Physical Chemistry	Chemical Thermodynamics	6	What is Enthalpy || Relation between Enthalpy and Internal Energy	https://youtu.be/UuT1LNp5SJY	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/06_what_is_enthalpy_relation_between_enthalpy_and_internal_energy.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Thermodynamics	7	Heat of Reaction | Enthalpy Of Formation || Enthalpy Of Combustion	https://youtu.be/OxGEY-ydojk	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/07_heat_of_reaction_enthalpy_of_formation_enthalpy_of_combustion.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Thermodynamics	8	Hess's Law	https://youtu.be/wvnS_xmfRZc	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/08_hesss_law.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Thermodynamics	9	Second Law Of Thermodynamics Introduction	https://youtu.be/a7CxGA6qQPE	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/09_second_law_of_thermodynamics_introduction.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Thermodynamics	10	What is ENTROPY ? || Spontaneity and Entropy	https://youtu.be/NfB2chtSy-I	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/10_what_is_entropy_spontaneity_and_entropy.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Thermodynamics	11	Entropy of different process | How to find Entropy	https://youtu.be/_zYbZY-gZYw	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/11_entropy_of_different_process_how_to_find_entropy.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Thermodynamics	12	Gibb's Free Energy	https://youtu.be/pvLmWz3tWz8	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/12_gibbs_free_energy.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Thermodynamics	13	Standard Gibb's Free Energy and Equilibrium Constant	https://youtu.be/nkO0x0uWiNs	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/13_standard_gibbs_free_energy_and_equilibrium_constant.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	1	Introduction to Equilibrium	https://youtu.be/sCUgeC5ACv8	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/01_introduction_to_equilibrium.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	2	Equilibrium Constant Kp and Kc	https://youtu.be/oyr7q5BrGEA	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/02_equilibrium_constant_kp_and_kc.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	3	Law Of Chemical Equilibrium Numericals	https://youtu.be/z2G52O_7nd4	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/03_law_of_chemical_equilibrium_numericals.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	4	Degree of Dissociation and Observed Density	https://youtu.be/x13K19_JwgY	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/04_degree_of_dissociation_and_observed_density.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	5	Le-Chatelier's Principle	https://youtu.be/NVZ4Jb9tLX4	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/05_le_chateliers_principle.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	6	Theories Of Acids and Bases	https://youtu.be/Uql1eQGq9Dg	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/06_theories_of_acids_and_bases.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	7	Ionisation Constant Of Weak Acid and Base	https://youtu.be/Dgdz6bfRMdc	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/07_ionisation_constant_of_weak_acid_and_base.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	8	pH Of Solutions | How to find pH | How to calculate pH of any Solution	https://youtu.be/uuGl5o8b3Zk	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/08_ph_of_solutions_how_to_find_ph_how_to_calculate_ph_of_any_solution.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	9	Common-Ion Effect	https://youtu.be/xqq78GsLXSA	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/09_common_ion_effect.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	10	Buffer Solutions Part 1 of 2	https://youtu.be/KH0w5TZnJaA	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/10_buffer_solutions_part_1_of_2.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	11	Buffer Solutions Part 2 of 2	https://youtu.be/30eFAm74wp0	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/11_buffer_solutions_part_2_of_2.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	12	Salt Hydrolysis	https://youtu.be/I33BwmAz1sY	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/12_salt_hydrolysis.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Equilibrium	13	Solubility and Solubility Product	https://youtu.be/1tRdbmroncE	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGNdqR8jaKSpxiiR83vM3_r	01_physical_chem_lectures/06_equilibrium/13_solubility_and_solubility_product.html		Unit 6	Equilibrium	High	Keep current source / no change decided				
Physical Chemistry	Redox Reactions and Electrochemistry	1	How to Find Oxidation Number - Methods & Tricks	https://youtu.be/c06C1t0PnGk	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/01_how_to_find_oxidation_number_methods_tricks.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
Physical Chemistry	Redox Reactions and Electrochemistry	2	Oxidation and Reduction & Types of Redox Reactions	https://youtu.be/5Bf_Qk_YSI8	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/02_oxidation_and_reduction_types_of_redox_reactions.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
Physical Chemistry	Redox Reactions and Electrochemistry	3	Balancing a Chemical Equation By Ion-Electron Method or Half Reaction Method	https://youtu.be/vf6PiQVK6oU	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/03_balancing_a_chemical_equation_by_ion_electron_method_or_half_reaction_method.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
Physical Chemistry	Redox Reactions and Electrochemistry	4	Balancing a Chemical Equation By Oxidation Number Method	https://youtu.be/v6D5eETBQk0	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/04_balancing_a_chemical_equation_by_oxidation_number_method.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
Physical Chemistry	Redox Reactions and Electrochemistry	5	Daniell Cell - Electrochemical / Galvanic / Voltaic Cell	https://youtu.be/j7PYqR1iGMg	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/05_daniell_cell_electrochemical_galvanic_voltaic_cell.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
